Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ECRLite,Chrome 61.0.3163.100,,2017-11-06 09:51:42,2017-11-06 10:00:12,8m - 29.663s,FAILED
,,,,,,
Test Cases/ECR/TC_ECRLite_NoExpertService_AllApproval,Chrome 61.0.3163.100,,2017-11-06 09:51:42,2017-11-06 09:52:46,1m - 3.714s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:51:43,2017-11-06 09:52:46,1m - 3.288s,FAILED
,,,,,,
Test Cases/ECR/TC_ECRLite_NoExpertService_AllReject,Chrome 61.0.3163.100,,2017-11-06 09:52:46,2017-11-06 09:53:48,1m - 1.985s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:52:46,2017-11-06 09:53:48,1m - 1.852s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Lite_ExpertService_AllApproval,Chrome 61.0.3163.100,,2017-11-06 09:53:48,2017-11-06 09:54:51,1m - 2.472s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:53:48,2017-11-06 09:54:51,1m - 2.357s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Lite_ExpertService_AllReject,Chrome 61.0.3163.100,,2017-11-06 09:54:51,2017-11-06 09:56:00,1m - 9.149s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:54:51,2017-11-06 09:56:00,1m - 9.011s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Meeting_ExpertService_AllApproval,Chrome 61.0.3163.100,,2017-11-06 09:56:00,2017-11-06 09:57:00,1m - 0.144s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:56:00,2017-11-06 09:57:00,1m - 0.028s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Meeting_ExpertService_AllReject,Chrome 61.0.3163.100,,2017-11-06 09:57:00,2017-11-06 09:58:01,1m - 1.014s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:57:00,2017-11-06 09:58:01,1m - 0.898s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Meeting_NoExpertService_AllApproval,Chrome 61.0.3163.100,,2017-11-06 09:58:01,2017-11-06 09:59:37,1m - 35.999s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:58:01,2017-11-06 09:59:37,1m - 35.871s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_Meeting_NoExpertService_AllReject,Chrome 61.0.3163.100,,2017-11-06 09:59:37,2017-11-06 10:00:11,33.449s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 09:59:38,2017-11-06 10:00:11,33.151s,FAILED
,,,,,,
Test Cases/ECR/TC_ECR_NoMeeting_NoRoutingToRL_AllApproval,Chrome 61.0.3163.100,,2017-11-06 10:00:11,2017-11-06 10:00:11,0.242s,ERROR
callTestCase,Chrome 61.0.3163.100,,2017-11-06 10:00:11,2017-11-06 10:00:11,0.000s,PASSED
