Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GoLive,Chrome 61.0.3163.100,,2017-11-10 10:02:34,2017-11-10 10:03:09,35.565s,PASSED
,,,,,,
Test Cases/GOLIVE/Go_Live,Chrome 61.0.3163.100,,2017-11-10 10:02:34,2017-11-10 10:03:02,28.417s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-10 10:02:34,2017-11-10 10:02:37,2.972s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-10 10:02:37,2017-11-10 10:02:39,1.762s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:39,2017-11-10 10:02:39,0.273s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:39,2017-11-10 10:02:39,0.195s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:39,2017-11-10 10:02:46,6.141s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-10 10:02:46,2017-11-10 10:02:47,1.167s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:47,2017-11-10 10:02:50,3.721s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-10 10:02:50,2017-11-10 10:02:51,0.280s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:51,2017-11-10 10:02:51,0.600s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:51,2017-11-10 10:02:53,1.267s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:02:53,2017-11-10 10:02:55,2.025s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:55,2017-11-10 10:02:55,0.303s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:55,2017-11-10 10:02:56,0.694s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:02:56,2017-11-10 10:02:58,2.003s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:58,2017-11-10 10:02:58,0.250s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:02:58,2017-11-10 10:02:58,0.145s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:58,2017-11-10 10:02:58,0.440s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:02:58,2017-11-10 10:02:59,1.003s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:02:59,2017-11-10 10:03:00,0.610s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:00,2017-11-10 10:03:00,0.241s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:00,2017-11-10 10:03:01,0.557s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:01,2017-11-10 10:03:01,0.241s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:01,2017-11-10 10:03:01,0.183s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:01,2017-11-10 10:03:02,0.185s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-10 10:03:02,2017-11-10 10:03:02,0.362s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:02,2017-11-10 10:03:02,0.193s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:02,2017-11-10 10:03:02,0.191s,PASSED
,,,,,,
Test Cases/GOLIVE/ClickNext,Chrome 61.0.3163.100,,2017-11-10 10:03:02,2017-11-10 10:03:08,5.651s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:03:02,2017-11-10 10:03:06,3.521s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:03:06,2017-11-10 10:03:08,2.004s,PASSED
