Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogOffTest,Chrome 61.0.3163.100,,2017-11-06 10:13:54,2017-11-06 10:14:08,14.532s,FAILED
,,,,,,
Test Cases/ECR/Login_Pooja,Chrome 61.0.3163.100,,2017-11-06 10:13:54,2017-11-06 10:14:08,14.015s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-06 10:13:54,2017-11-06 10:13:57,2.992s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-06 10:13:57,2017-11-06 10:13:59,1.898s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-06 10:13:59,2017-11-06 10:13:59,0.296s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-06 10:13:59,2017-11-06 10:13:59,0.151s,PASSED
click,Chrome 61.0.3163.100,,2017-11-06 10:13:59,2017-11-06 10:14:07,7.242s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-06 10:14:07,2017-11-06 10:14:08,1.052s,PASSED
,,,,,,
Test Cases/ECR/LogOff,Chrome 61.0.3163.100,,2017-11-06 10:14:08,2017-11-06 10:14:08,0.175s,FAILED
click,Chrome 61.0.3163.100,,2017-11-06 10:14:08,2017-11-06 10:14:08,0.017s,FAILED
