Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User Story,Chrome 61.0.3163.100,,2017-11-06 18:04:56,2017-11-06 18:07:52,2m - 55.723s,FAILED
,,,,,,
Test Cases/Sprint-9/US-193833,Chrome 61.0.3163.100,Give Bill Clair access to the ECR as a Clinic Meeting administrator. He sholuld have all of the access that Josh has now.  See the screenshot with the flow actions that should be available to him while the case is in Pending Clinic Meeting status.,2017-11-06 18:04:56,2017-11-06 18:06:47,1m - 50.183s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 18:04:57,2017-11-06 18:05:37,39.770s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 18:05:37,2017-11-06 18:05:48,11.581s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 18:05:48,2017-11-06 18:05:58,10.153s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-06 18:05:58,2017-11-06 18:06:13,15.007s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-06 18:06:13,2017-11-06 18:06:14,1.018s,PASSED
com.helper.commonfunct.utilities.login,Chrome 61.0.3163.100,,2017-11-06 18:06:14,2017-11-06 18:06:46,31.082s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-06 18:06:46,2017-11-06 18:06:47,1.135s,PASSED
,,,,,,
Test Cases/Sprint-9/Find Quote WO,Chrome 61.0.3163.100,,2017-11-06 18:06:47,2017-11-06 18:07:19,32.213s,FAILED
click,Chrome 61.0.3163.100,,2017-11-06 18:06:47,2017-11-06 18:06:47,0.104s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-06 18:06:47,2017-11-06 18:07:19,32.105s,FAILED
,,,,,,
Test Cases/Sprint-9/OpenWO,Chrome 61.0.3163.100,Open WO searched in advanced search,2017-11-06 18:07:19,2017-11-06 18:07:51,31.935s,FAILED
doubleClick,Chrome 61.0.3163.100,,2017-11-06 18:07:19,2017-11-06 18:07:51,31.919s,FAILED
