Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Technical details,Chrome 61.0.3163.100,,2017-11-13 15:38:13,2017-11-13 15:39:20,1m - 6.515s,PASSED
,,,,,,
Test Cases/GOLIVE/Enter Business Case,Chrome 61.0.3163.100,,2017-11-13 15:38:13,2017-11-13 15:38:35,21.914s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-13 15:38:14,2017-11-13 15:38:17,3.028s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-13 15:38:17,2017-11-13 15:38:19,1.781s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:19,2017-11-13 15:38:19,0.764s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:19,2017-11-13 15:38:20,0.249s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-13 15:38:20,2017-11-13 15:38:26,6.385s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-13 15:38:26,2017-11-13 15:38:27,1.185s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:38:27,2017-11-13 15:38:28,0.279s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:38:28,2017-11-13 15:38:28,0.905s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:28,2017-11-13 15:38:30,1.475s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:38:30,2017-11-13 15:38:30,0.202s,PASSED
doubleClick,Chrome 61.0.3163.100,,2017-11-13 15:38:30,2017-11-13 15:38:33,2.839s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:38:33,2017-11-13 15:38:35,1.882s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-11-13 15:38:35,2017-11-13 15:38:35,0.194s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:38:35,2017-11-13 15:38:35,0.255s,PASSED
,,,,,,
Test Cases/GOLIVE/Enter Technical Details,Chrome 61.0.3163.100,,2017-11-13 15:38:35,2017-11-13 15:39:18,42.938s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:36,2017-11-13 15:38:37,1.655s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:37,2017-11-13 15:38:39,2.019s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:39,2017-11-13 15:38:40,0.334s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:40,2017-11-13 15:38:42,2.002s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:42,2017-11-13 15:38:42,0.315s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:42,2017-11-13 15:38:44,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:44,2017-11-13 15:38:44,0.321s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:44,2017-11-13 15:38:47,3.002s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:47,2017-11-13 15:38:48,0.389s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:48,2017-11-13 15:38:50,2.001s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:50,2017-11-13 15:38:50,0.450s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:50,2017-11-13 15:38:52,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:38:52,2017-11-13 15:38:52,0.334s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:52,2017-11-13 15:38:54,2.003s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:54,2017-11-13 15:38:55,0.428s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:55,2017-11-13 15:38:56,1.003s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:56,2017-11-13 15:38:56,0.305s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:56,2017-11-13 15:38:57,1.002s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:38:57,2017-11-13 15:38:58,0.531s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:38:58,2017-11-13 15:39:00,2.003s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-11-13 15:39:00,2017-11-13 15:39:00,0.113s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:39:00,2017-11-13 15:39:00,0.372s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:39:00,2017-11-13 15:39:02,2.002s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:39:02,2017-11-13 15:39:03,0.417s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:39:03,2017-11-13 15:39:05,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:39:05,2017-11-13 15:39:05,0.432s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:39:05,2017-11-13 15:39:07,2.002s,PASSED
